127.0.0.1 - - [10/Nov/2023:12:54:35 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/login.jsp HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/images/signin-image.jpg HTTP/1.1" 200 21118
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/css/style.css HTTP/1.1" 200 19686
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:36 +0700] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:41 +0700] "GET /signup/registration.jsp HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:41 +0700] "GET /signup/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:41 +0700] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:54:41 +0700] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:30 +0700] "POST /signup/register HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:30 +0700] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:30 +0700] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:30 +0700] "GET /signup/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:49 +0700] "GET /signup/login.jsp HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:49 +0700] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:55:49 +0700] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:22 +0700] "POST /signup/Login HTTP/1.1" 200 2958
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:22 +0700] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:22 +0700] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "POST /signup/Login HTTP/1.1" 200 24031
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/avataaars.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/css/index-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/portfolio/cabin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/portfolio/circus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/portfolio/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/portfolio/submarine.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:56:41 +0700] "GET /signup/assets/img/portfolio/safe.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:57:25 +0700] "GET /signup/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:57:25 +0700] "GET /signup/login.jsp HTTP/1.1" 200 2956
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:57:25 +0700] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Nov/2023:12:57:25 +0700] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
